id,day,start_time,end_time,location
T-001,MONDAY,06:00,10:00,Warehouse A
T-002,MONDAY,10:30,14:30,Downtown
T-003,MONDAY,15:00,19:00,Suburbs
T-004,TUESDAY,07:00,11:00,Warehouse B
T-005,TUESDAY,11:30,15:30,Industrial Park
T-006,TUESDAY,16:00,20:00,City Center
T-007,WEDNESDAY,06:30,10:30,Warehouse A
T-008,WEDNESDAY,11:00,15:00,North District
T-009,THURSDAY,08:00,12:00,Warehouse C
T-010,THURSDAY,12:30,16:30,East Side
T-011,THURSDAY,17:00,21:00,West End
T-012,FRIDAY,06:00,10:00,Warehouse A
T-013,FRIDAY,10:30,14:30,Downtown
T-014,SATURDAY,08:00,12:00,Weekend Hub
T-015,SATURDAY,12:30,16:30,Shopping District
