driver_external_ref,date,status,note
# Availability Import Template
# ============================
# Required: driver_external_ref, date, status
# Optional: note
#
# Status values:
#   AVAILABLE - Can be assigned (default if no row)
#   SICK      - Sick leave (triggers repair)
#   VACATION  - Planned absence
#   BLOCKED   - Other unavailability (training, etc.)
#
# Date format: YYYY-MM-DD
# Timezone: Europe/Vienna
#
# Example entries for week 2026-W02 (Mon 2026-01-06 to Sun 2026-01-12):
LTS-001,2026-01-06,AVAILABLE,
LTS-002,2026-01-06,SICK,Krankmeldung
LTS-003,2026-01-06,VACATION,Urlaub KW02
LTS-004,2026-01-07,BLOCKED,Schulung
LTS-005,2026-01-06,AVAILABLE,
LTS-005,2026-01-07,AVAILABLE,
LTS-005,2026-01-08,VACATION,Halber Tag
